house_ID,Location,HouseType,Condition,Size_sqft,Bedrooms,Bathrooms,Floors,Parking,YearBuilt,DistanceToCityCenter_km,Price 
1,Shoreline,Apartment,New,1340,3,3,2,Yes,1955,6.7,313000
2,Seattle,Bungalow,Old,3650,5,4,2,No,1921,2.3,2384000
3,Kent,Townhouse,Renovated,1930,3,1,1,No,1966,5.3,342000
4,Bellevue,Apartment,Renovated,2000,3,1,1,No,1963,6.3,420000
5,Redmond,Villa,Renovated,1940,4,2,1,Yes,1976,4.5,550000
6,Seattle,Townhouse,New,880,2,3,1,Yes,1938,1,490000
7,Redmond,Villa,Renovated,1350,2,3,1,Yes,1976,1.5,335000
8,Maple Valley,Villa,Old,2710,4,4,2,Yes,1989,6,482000
9,North Bend,Townhouse,Old,2430,3,3,1,Yes,1985,7,452500
10,Seattle,Townhouse,New,1520,4,5,3,Yes,1945,8,640000
11,Lake Forest Park,Apartment,Old,1710,3,3,1,Yes,1948,4,463000
12,Seattle,Townhouse,Old,2920,4,3,2,Yes,1909,5.5,1400000
13,Sammamish,Townhouse,New,2330,3,4,1,Yes,1980,6.4,588500
14,Seattle,Townhouse,Old,1090,3,3,1,Yes,1955,8.4,365000
15,Seattle,Apartment,Renovated,2910,5,3,2,Yes,1939,5,1200000
16,Kent,Bungalow,Renovated,1200,3,3,1,Yes,1965,6.1,242500
17,Bellevue,Townhouse,Renovated,1570,3,3,1,Yes,1956,4.5,419000
18,Auburn,Villa,New,3110,4,4,2,Yes,1997,2.5,367500
19,Des Moines,Bungalow,Renovated,1370,3,1,1,Yes,1987,6.5,257950
20,North Bend,Townhouse,Old,1180,3,1,1,Yes,1983,3.5,275000
21,Seattle,Apartment,Old,2240,3,2,2,No,1923,6.5,750000
22,Bellevue,Bungalow,New,1450,4,3,1,No,1954,9.7,435000
23,Seattle,Townhouse,Old,1750,3,3,1,No,2005,8.5,626000
24,Bothell,Apartment,Old,2730,4,4,2,Yes,1991,6.5,612500
25,Seattle,Villa,New,1600,4,3,1,Yes,1959,8.4,495000
26,Federal Way,Townhouse,Old,2090,3,5,1,No,1987,9.4,285000
27,Seattle,Villa,Renovated,2360,3,3,1,Yes,1948,6.4,615000
28,Kirkland,Villa,Renovated,2200,4,3,2,No,1920,5.5,698000
29,Issaquah,Townhouse,Renovated,2820,5,4,2,Yes,1979,2.5,675000
30,Seattle,Townhouse,New,2600,3,3,1,Yes,1951,3.6,790000
31,Kirkland,Apartment,Renovated,1560,4,3,1,Yes,1967,4.9,382500
32,Woodinville,Townhouse,Old,2860,4,3,2,Yes,2004,5.5,499950
33,Seattle,Townhouse,Old,1820,4,3,2,Yes,1945,2.5,650000
34,Shoreline,Townhouse,New,2820,4,4,2,No,2014,1,625000
35,Auburn,Apartment,Old,3630,4,3,2,Yes,1979,5,400000
36,Federal Way,Bungalow,Old,3240,3,5,2,Yes,1995,6,604000
37,Seattle,Townhouse,New,800,2,3,1,No,1944,8,440000
38,Maple Valley,Villa,Old,1850,3,3,1,Yes,1992,7,287200
39,Normandy Park,Bungalow,Renovated,1960,3,4,1,Yes,1957,9.5,403000
40,Seattle,Townhouse,Renovated,2390,3,3,1,No,1955,6.8,750000
41,Fall City,Apartment,Renovated,1580,3,3,1,No,1978,9.4,335000
42,Renton,Bungalow,New,1480,4,3,1,No,1974,5.3,260000
43,Shoreline,Townhouse,Renovated,850,2,3,1,Yes,1950,6.3,308500
44,Seattle,Apartment,Old,1770,3,4,2,Yes,1990,4.5,439950
45,Seattle,Villa,Old,1210,2,1,1,Yes,1949,1,235000
46,Woodinville,Townhouse,New,1160,3,1,1,Yes,1968,1.5,315000
47,Issaquah,Villa,Old,1970,3,2,2,Yes,1977,6,437500
48,Renton,Villa,Old,1930,3,3,2,Yes,1996,7,407500
49,Seattle,Townhouse,New,1270,3,4,3,Yes,2001,8,445700
50,Redmond,Townhouse,Old,3310,4,3,2,Yes,2001,4,838000
51,Issaquah,Apartment,Renovated,2710,4,5,2,Yes,2000,5.5,630000
52,Sammamish,Townhouse,Renovated,2910,3,3,1,Yes,1979,6.4,550000
53,Seattle,Townhouse,Renovated,2710,3,3,1,Yes,1929,8.4,805000
54,Carnation,Townhouse,New,1800,3,4,1,Yes,1968,5,284000
